Text,Label
"Win a free iPhone now!",1
"Hey, how's it going?",0
"Your loan is approved",1
"See you at lunch",0
"You have been selected for a cash prize",1
"Let's catch up this weekend",0
"Congratulations! You've won a $1000 gift card",1
"Meeting rescheduled to 2pm",0
"Exclusive offer just for you!",1
"Don't forget the groceries",0
"Claim your free vacation now",1
"Happy birthday!",0
"Get cheap meds online",1
"Can you review this document?",0
"Urgent: Update your account information",1
"Movie night tonight?",0
"Work from home and earn $5000 weekly",1
"Project deadline is tomorrow",0
"Limited time discount - act now!",1
"Thanks for your help yesterday",0
"Lowest insurance rates available",1
"Call me when you're free",0
"Congratulations, you have won the lottery!",1
"See you at the gym",0
"Earn money fast, no experience needed!",1
"Team lunch on Friday?",0
"Important: Account suspended",1
"Birthday dinner plans?",0
"Double your income in a week",1
"Do you want to join the call?",0
"FREE entry to the Bahamas!",1
"Let's finalize the presentation",0
"Winner! Click here to claim your prize",1
"Good luck on your exam!",0
"Unlock your hidden fortune",1
"Can you send me the files?",0
"Get rich quick scheme revealed",1
"Family dinner at 7pm",0
"Congratulations, you've been pre-approved for a loan",1
"Looking forward to our trip",0
"Act now to claim your exclusive prize",1
"Did you get my last email?",0
"Get paid to take surveys online",1
"See you at the party tonight",0
"Your order has shipped",0
"This is not a scam: win big today!",1
"Can we reschedule our meeting?",0
"Free bitcoins just for you",1
"Don't forget to submit your report",0
"Hot singles in your area want to meet you",1
"Meeting agenda attached",0
"Special clearance sale ends tonight",1
"Let's sync up after lunch",0
"Congratulations! Get your free airline tickets",1
"Can you review my code?",0
"Your account will be locked without action",1
"Happy Friday!",0
"Instant approval for your application",1
"Are you available for a quick chat?",0
"Unlock exclusive rewards by clicking here",1
"Can you help with the presentation?",0
"You are pre-qualified for a personal loan",1
"See you tomorrow at the office",0
"Act now to secure your bonus",1
"Did you get my message?",0
"Lowest prices of the year!",1
"Join us for coffee break",0
"Congratulations! You've been chosen",1
"Please check the attached document",0
"Upgrade your account for free",1
"Let's finalize the design",0
"Your payment is pending",1
"Don't forget the team meeting",0
"Free access to premium courses",1
"Can you update the spreadsheet?",0
